,标识符,机型,始发地,出发,到达
1052,CJX8913,B738,Nanchang Changbei Int'l (KHN / ZSCN),Tue 07:55AM CST,Tue 09:29AM CST
1053,CQH8819,A320,Shanghai Hongqiao Int'l (SHA / ZSSS),Tue 07:08AM CST,Tue 09:25AM CST
1054,HXA4171,CRJ9,Quzhou (JUZ / ZSJU),Tue 07:35AM CST,Tue 09:22AM CST
1055,YZR7503,B738,Shanghai Pudong Int'l (PVG / ZSPD),Tue 06:48AM CST,Tue 09:19AM CST
1056,CDG8817,B738,Xiamen Gaoqi Int'l (XMN / ZSAM),Tue 08:04AM CST,Tue 09:14AM CST
1057,CES2733,A320,Wuxi (WUX / ZSWX),Tue 09:03AM CST,11:23AM CST (?)
1058,CHH7433,B738,Haikou Meilan Int'l (HAK / ZJHK),Tue 08:12AM CST,Tue 08:56AM CST
1059,CHB6263,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Tue 06:39AM CST,Tue 08:23AM CST
1060,CBG8977,A320,Haikou Meilan Int'l (HAK / ZJHK),Tue 06:30AM CST,Tue 07:13AM CST
1061,CSN8566,B738,Wuhan Tianhe (WUH / ZHHH),Mon 11:08PM CST,Tue 12:49AM CST
1062,CES2786,A320,Nanjing Lukou Int'l (NKG / ZSNJ),Mon 10:44PM CST,Tue 12:46AM CST
1063,CSN3788,B738,Guiyang Longdongbao (KWE / ZUGY),Mon 10:42PM CST,Mon 11:55PM CST
1064,CSN3736,B738,Beijing Daxing International Airport (PKX / ZBAD),Mon 08:48PM CST,Mon 11:42PM CST
1065,CSN8286,B738,Chongqing Jiangbei Int'l (CKG / ZUCK),Mon 10:02PM CST,Mon 11:33PM CST
1066,EPA6336,B738,Wanxian (WXN / ZUWX),Mon 09:30PM CST,Mon 11:30PM CST
1067,CSZ8320,A320,Nanjing Lukou Int'l (NKG / ZSNJ),Mon 09:21PM CST,Mon 11:25PM CST
1068,CSN8590,B738,Nanjing Lukou Int'l (NKG / ZSNJ),Mon 08:47PM CST,Mon 11:02PM CST
