,标识符,机型,始发地,出发,到达
956,CPA746,B77W,Dubai Int'l (DXB / OMDB),Fri 05:49PM +04,Sat 04:18AM HKT
957,CKK263,B77L,Shanghai Pudong Int'l (PVG / ZSPD),Sat 02:10AM CST,Sat 04:15AM HKT
958,HVN594,787,Tan Son Nhat Int'l (SGN / VVTS),Sat 12:56AM +07,Sat 03:48AM HKT
959,BOX520,B77L,Bahrain Int'l (BAH / OBBI),Fri 03:00PM +03,Sat 02:43AM HKT
960,CKK263,B77L,Shanghai Pudong Int'l (PVG / ZSPD),Sat 02:10AM CST,Sat 04:15AM HKT
961,HVN594,787,Tan Son Nhat Int'l (SGN / VVTS),Sat 12:56AM +07,Sat 03:48AM HKT
962,BOX520,B77L,Bahrain Int'l (BAH / OBBI),Fri 03:00PM +03,Sat 02:43AM HKT
963,BOX514,B77L,Dubai Int'l (DXB / OMDB),Fri 04:27PM +04,Sat 02:40AM HKT
964,ETD937,B772,Abu Dhabi Int'l (AUH / OMAA),Fri 04:07PM +04,Sat 02:35AM HKT
965,EVA6535,B772,Taiwan Taoyuan Int'l (TPE / RCTP),Sat 12:59AM CST,Sat 02:21AM HKT
966,AHK316,74F,Singapore Changi (SIN / WSSS),Fri 10:57PM +08,Sat 02:12AM HKT
967,ETH3218,B772,Bole Int'l (ADD / HAAB),Fri 12:38PM EAT,Sat 02:07AM HKT
968,AHK783,A306,Shanghai Pudong Int'l (PVG / ZSPD),Fri 11:53PM CST,Sat 02:04AM HKT
969,AHK205,A30B,Kansai Int'l (KIX / RJBB),Fri 11:03PM JST,Sat 01:42AM HKT
970,AHK842,B763,Suvarnabhumi Bangkok Int'l (BKK / VTBS),Fri 10:36PM +07,Sat 01:37AM HKT
971,AHK209,A30B,Narita Int'l (NRT / RJAA),Fri 09:44PM JST,Sat 01:25AM HKT
972,KMI525,B734,Noi Bai Int'l (HAN / VVNB),Fri 10:59PM +07,Sat 01:19AM HKT
973,AHK681,A30B,Taiwan Taoyuan Int'l (TPE / RCTP),Fri 11:43PM CST,Sat 01:17AM HKT
974,AHK842,B763,Suvarnabhumi Bangkok Int'l (BKK / VTBS),Fri 10:36PM +07,Sat 01:37AM HKT
975,AHK209,A30B,Narita Int'l (NRT / RJAA),Fri 09:44PM JST,Sat 01:25AM HKT
976,KMI525,B734,Noi Bai Int'l (HAN / VVNB),Fri 10:59PM +07,Sat 01:19AM HKT
977,AHK681,A30B,Taiwan Taoyuan Int'l (TPE / RCTP),Fri 11:43PM CST,Sat 01:17AM HKT
978,AHK129,A30B,Incheon Int'l (ICN / RKSI),Fri 10:57PM KST,Sat 01:13AM HKT
979,NCA203,B748,Narita Int'l (NRT / RJAA),Fri 09:25PM JST,Sat 01:10AM HKT
980,HKC318,A332,Noi Bai Int'l (HAN / VVNB),Fri 10:47PM +07,Sat 01:08AM HKT
981,SVA982,B77L,King Khalid Int'l (RUH / OERK),Fri 12:49PM +03,Sat 01:03AM HKT
982,KAL313,B748,Incheon Int'l (ICN / RKSI),Fri 10:44PM KST,Sat 12:59AM HKT
983,AHK562,A30B,Tan Son Nhat Int'l (SGN / VVTS),Fri 09:59PM +07,Sat 12:56AM HKT
984,ANA8511,B763,Narita Int'l (NRT / RJAA),Fri 08:52PM JST,Sat 12:36AM HKT
985,AAR969,74F,Incheon Int'l (ICN / RKSI),Fri 09:47PM KST,Sat 12:06AM HKT
986,SOO98,B77L,Leipzig/Halle (LEJ / EDDP),Fri 06:10AM CET,Sat 12:03AM HKT
987,UAE9884,B772,Dubai Int'l (DXB / OMDB),Fri 01:00PM +04,Fri 11:29PM HKT
988,SOO98,B77L,Leipzig/Halle (LEJ / EDDP),Fri 06:10AM CET,Sat 12:03AM HKT
989,UAE9884,B772,Dubai Int'l (DXB / OMDB),Fri 01:00PM +04,Fri 11:29PM HKT
990,HKC9376,A332,Chennai Int'l (MAA / VOMM),Fri 03:59PM IST,Fri 11:20PM HKT
991,CPA2048,B744,Noi Bai Int'l (HAN / VVNB),Fri 09:02PM +07,Fri 11:17PM HKT
992,CPA2640,A333,Tribhuvan Int'l (KTM / VNKT),Fri 05:08PM +0545,Fri 11:15PM HKT
993,CPA2074,B744,Phnom Penh Int'l (Pochentong Int'l) (PNH / VDPP),Fri 08:15PM +07,Fri 11:08PM HKT
994,CPA764,A359,Tan Son Nhat Int'l (SGN / VVTS),Fri 07:44PM +07,Fri 10:39PM HKT
995,CPA479,A35K,Taiwan Taoyuan Int'l (TPE / RCTP),Fri 09:14PM CST,Fri 10:37PM HKT
996,MSR509,A332,Cairo Int'l (CAI / HECA),Fri 07:40AM EET,Fri 10:27PM HKT
997,GTI9428,B744,Anchorage Intl (PANC),Thu 05:34PM AKST,Fri 10:06PM HKT
998,AAR745,A21N,Incheon Int'l (ICN / RKSI),Fri 07:27PM KST,Fri 10:03PM HKT
999,CPA702,A359,Suvarnabhumi Bangkok Int'l (BKK / VTBS),Fri 06:56PM +07,Fri 09:55PM HKT
1000,CPA419,A359,Incheon Int'l (ICN / RKSI),Fri 07:35PM KST,Fri 09:50PM HKT
1001,UAE9844,B772,Dubai Int'l (DXB / OMDB),Fri 11:23AM +04,Fri 09:43PM HKT
1002,AAR745,A21N,Incheon Int'l (ICN / RKSI),Fri 07:27PM KST,Fri 10:03PM HKT
1003,CPA702,A359,Suvarnabhumi Bangkok Int'l (BKK / VTBS),Fri 06:56PM +07,Fri 09:55PM HKT
1004,CPA419,A359,Incheon Int'l (ICN / RKSI),Fri 07:35PM KST,Fri 09:50PM HKT
1005,UAE9844,B772,Dubai Int'l (DXB / OMDB),Fri 11:23AM +04,Fri 09:43PM HKT
1006,CPA724,A333,Kuala Lumpur Int'l (KUL / WMKK),Fri 06:01PM +08,Fri 09:30PM HKT
1007,CPA100,A35K,Sydney (SYD / YSSY),Fri 04:04PM AEDT,Fri 09:26PM HKT
1008,CAL921,A333,Taiwan Taoyuan Int'l (TPE / RCTP),Fri 08:00PM CST,Fri 09:24PM HKT
1009,CPA3275,B744,Anchorage Intl (PANC),Thu 06:05PM AKST,Fri 09:21PM HKT
1010,GTI654,B744,Incheon Int'l (ICN / RKSI),Fri 06:46PM KST,Fri 09:03PM HKT
1011,CPA507,A35K,Kansai Int'l (KIX / RJBB),Fri 05:59PM JST,Fri 08:43PM HKT
1012,CPA198,B77W,Auckland (AKL / NZAA),Fri 02:57PM NZDT,Fri 08:26PM HKT
1013,CPA521,A359,Narita Int'l (NRT / RJAA),Fri 04:45PM JST,Fri 08:20PM HKT
1014,CPA87,B744,Anchorage Intl (PANC),Thu 05:00PM AKST,Fri 08:09PM HKT
1015,CPA507,A35K,Kansai Int'l (KIX / RJBB),Fri 05:59PM JST,Fri 08:43PM HKT
1016,CPA198,B77W,Auckland (AKL / NZAA),Fri 02:57PM NZDT,Fri 08:26PM HKT
1017,CPA521,A359,Narita Int'l (NRT / RJAA),Fri 04:45PM JST,Fri 08:20PM HKT
1018,CPA87,B744,Anchorage Intl (PANC),Thu 05:00PM AKST,Fri 08:09PM HKT
1019,CPA331,A333,Beijing Capital Int'l (PEK / ZBAA),Fri 04:59PM CST,Fri 08:06PM HKT
1020,CAL927,A333,Taiwan Taoyuan Int'l (TPE / RCTP),Fri 06:39PM CST,Fri 08:04PM HKT
1021,CPA780,A333,Juanda Int'l (SUB / WARR),Fri 02:48PM WIB,Fri 08:01PM HKT
1022,CRK609,A333,Narita Int'l (NRT / RJAA),Fri 04:09PM JST,Fri 07:57PM HKT
1023,CPA369,B77W,Shanghai Pudong Int'l (PVG / ZSPD),Fri 05:40PM CST,Fri 07:47PM HKT
1024,UAE9880,B772,Dubai Int'l (DXB / OMDB),Fri 09:27AM +04,Fri 07:44PM HKT
1025,LGT2202,B744,Anchorage Intl (PANC),Thu 03:34PM AKST,Fri 07:35PM HKT
1026,CAL923,A333,Taiwan Taoyuan Int'l (TPE / RCTP),Fri 06:04PM CST,Fri 07:27PM HKT
1027,UAL2865,B773,Narita Int'l (NRT / RJAA),Fri 03:52PM JST,Fri 07:17PM HKT
1028,CPA527,A35K,Narita Int'l (NRT / RJAA),Fri 03:38PM JST,Fri 07:14PM HKT
1029,CPA918,A35K,Manila Int'l (MNL / RPLL),Fri 05:31PM PST,Fri 07:03PM HKT
1030,KLM847,B789,Suvarnabhumi Bangkok Int'l (BKK / VTBS),Fri 03:48PM +07,Fri 06:51PM HKT
1031,CPA527,A35K,Narita Int'l (NRT / RJAA),Fri 03:38PM JST,Fri 07:14PM HKT
1032,CPA918,A35K,Manila Int'l (MNL / RPLL),Fri 05:31PM PST,Fri 07:03PM HKT
1033,KLM847,B789,Suvarnabhumi Bangkok Int'l (BKK / VTBS),Fri 03:48PM +07,Fri 06:51PM HKT
1034,CPA589,A333,Fukuoka (FUK / RJFF),Fri 04:17PM JST,Fri 06:35PM HKT
1035,CRK2018,A333,Sydney (SYD / YSSY),Fri 12:30PM AEDT,Fri 06:31PM HKT
1036,CPA391,A333,Beijing Capital Int'l (PEK / ZBAA),Fri 03:08PM CST,Fri 06:21PM HKT
1037,CPA654,A359,Suvarnabhumi Bangkok Int'l (BKK / VTBS),Fri 02:55PM +07,Fri 06:17PM HKT
1038,DLH8474,B772,Bengaluru Int'l (BLR / VOBL),Fri 11:10AM IST,Fri 06:12PM HKT
1039,QFA29,A333,Melbourne Tullamarine (MEL / YMML),Fri 12:20PM AEDT,Fri 06:02PM HKT
1040,ETH608,B788,Suvarnabhumi Bangkok Int'l (BKK / VTBS),Fri 02:46PM +07,Fri 05:46PM HKT
1041,TGW980,B789,Singapore Changi (SIN / WSSS),Fri 02:23PM +08,Fri 05:37PM HKT
1042,CPA8156,B77W,Wellcamp Airport (WTB / YBWW),Fri 11:46AM AEST,Fri 05:34PM HKT
1043,QFA29,A333,Melbourne Tullamarine (MEL / YMML),Fri 12:20PM AEDT,Fri 06:02PM HKT
1044,ETH608,B788,Suvarnabhumi Bangkok Int'l (BKK / VTBS),Fri 02:46PM +07,Fri 05:46PM HKT
1045,TGW980,B789,Singapore Changi (SIN / WSSS),Fri 02:23PM +08,Fri 05:37PM HKT
1046,CPA8156,B77W,Wellcamp Airport (WTB / YBWW),Fri 11:46AM AEST,Fri 05:34PM HKT
1047,UAE384,B77W,Suvarnabhumi Bangkok Int'l (BKK / VTBS),Fri 02:15PM +07,Fri 05:22PM HKT
1048,THA638,A330,Suvarnabhumi Bangkok Int'l (BKK / VTBS),Fri 02:07PM +07,Fri 05:11PM HKT
1049,CPA367,A333,Shanghai Pudong Int'l (PVG / ZSPD),Fri 02:31PM CST,Fri 04:43PM HKT
1050,THY70,B77W,Istanbul Airport (IST / LTFM),Fri 02:35AM +03,Fri 04:28PM HKT
1051,UPS58,B744,Daniel K Inouye Intl (PHNL),Thu 11:10AM HST,Fri 04:05PM HKT
1052,QTR818,A359,Hamad Int'l (DOH / OTHH),Fri 04:05AM +03,Fri 03:39PM HKT
1053,CPA367,A333,Shanghai Pudong Int'l (PVG / ZSPD),Fri 02:31PM CST,Fri 04:43PM HKT
1054,THY70,B77W,Istanbul Airport (IST / LTFM),Fri 02:35AM +03,Fri 04:28PM HKT
1055,UPS58,B744,Daniel K Inouye Intl (PHNL),Thu 11:10AM HST,Fri 04:05PM HKT
1056,QTR818,A359,Hamad Int'l (DOH / OTHH),Fri 04:05AM +03,Fri 03:39PM HKT
1057,SVA3976,B744,Al Maktoum Int'l (DWC / OMDW),Fri 05:06AM +04,Fri 03:24PM HKT
1058,PAC947,B748,Incheon Int'l (ICN / RKSI),Fri 01:05PM KST,Fri 03:22PM HKT
1059,CPA475,A359,Taiwan Taoyuan Int'l (TPE / RCTP),Fri 01:54PM CST,Fri 03:18PM HKT
1060,CPA2097,B748,Anchorage Intl (PANC),Thu 11:18AM AKST,Fri 03:13PM HKT
1061,SOO237,B77L,Incheon Int'l (ICN / RKSI),Fri 12:42PM KST,Fri 03:11PM HKT
1062,MAS6012,A332,Kota Kinabalu Int'l (BKI / WBKK),Fri 12:46PM +08,Fri 03:07PM HKT
1063,UPS62,B748,Anchorage Intl (PANC),Thu 10:54AM AKST,Fri 02:58PM HKT
1064,CPA495,A35K,Taiwan Taoyuan Int'l (TPE / RCTP),Fri 01:23PM CST,Fri 02:49PM HKT
