,标识符,机型,始发地,出发,到达
123,CES2969,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Mon 10:58AM CST,Mon 12:49PM CST
124,CES2762,A320,Beijing Daxing International Airport (PKX / ZBAD),Mon 11:12AM CST,Mon 12:42PM CST
125,CES2762,A320,Beijing Daxing International Airport (PKX / ZBAD),Mon 11:12AM CST,Mon 12:42PM CST
126,CES2972,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Mon 11:00AM CST,Mon 12:33PM CST
127,CQH6173,A320,Shenyang Taoxian Int'l (SHE / ZYTX),Mon 10:15AM CST,Mon 12:21PM CST
128,CES2954,A320,Kunming Changshui Int'l (KMG / ZPPP),Mon 10:03AM CST,Mon 12:18PM CST
129,CES2928,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Mon 10:11AM CST,Mon 11:33AM CST
130,CSC8055,A320,Nanning Wuxu Int'l (NNG / ZGNN),Mon 09:17AM CST,Mon 11:18AM CST
131,CSZ9676,A320,Harbin Taiping Int'l (HRB / ZYHB),Mon 08:27AM CST,Mon 11:01AM CST
132,CSZ9651,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Mon 09:09AM CST,Mon 10:58AM CST
133,CSN3899,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Mon 09:02AM CST,Mon 10:44AM CST
134,CSZ8733,A320,Quanzhou Jinjiang (JJN / ZSQZ),Mon 09:23AM CST,Mon 10:38AM CST
135,CCA4589,A320,Chengdu Shuangliu Int'l (CTU / ZUUU),Mon 08:07AM CST,Mon 10:04AM CST
136,CES9695,A320,Chengdu Shuangliu Int'l (CTU / ZUUU),Mon 07:57AM CST,Mon 09:55AM CST
137,CSZ9931,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Mon 07:32AM CST,Mon 09:30AM CST
138,CSZ9349,A320,Haikou Meilan Int'l (HAK / ZJHK),Mon 06:51AM CST,Mon 09:11AM CST
139,CES2904,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Sun 11:29PM CST,Mon 01:07AM CST
140,CES2952,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Sun 09:13PM CST,Sun 10:57PM CST
141,CSC8432,A320,Haikou Meilan Int'l (HAK / ZJHK),Sun 08:37PM CST,Sun 10:53PM CST
142,CSN6469,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Sun 08:11PM CST,Sun 09:51PM CST
143,CSN6469,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Sun 08:11PM CST,Sun 09:51PM CST
144,CSC8108,A320,Qingdao Liuting Int'l (TAO / ZSQD),Sun 08:35PM CST,Sun 09:36PM CST
145,CSZ8967,B739,Shenzhen Bao'an Int'l (SZX / ZGSZ),Sun 07:47PM CST,Sun 09:31PM CST
146,CES2948,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Sun 06:59PM CST,Sun 08:40PM CST
147,CSN3351,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Sun 06:35PM CST,Sun 08:18PM CST
148,CGZ7145,E190,Guiyang Longdongbao (KWE / ZUGY),Sun 06:19PM CST,Sun 08:11PM CST
149,CSZ9675,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Sun 05:35PM CST,Sun 07:23PM CST
150,CCA1825,A321,Beijing Capital Int'l (PEK / ZBAA),Sun 05:40PM CST,Sun 07:14PM CST
151,CSC8326,A320,Fuzhou Changle Int'l (FOC / ZSFZ),Sun 05:32PM CST,Sun 06:42PM CST
152,CES2914,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Sun 05:17PM CST,Sun 06:36PM CST
153,CQH6174,A320,Jieyang Chaoshan International Airport (SWA / ZGOW),Sun 04:55PM CST,Sun 06:30PM CST
154,CSC8151,A320,Zhuhai Int'l (ZUH / ZGSD),Sun 04:29PM CST,Sun 06:17PM CST
155,CSZ9652,A320,Shenyang Taoxian Int'l (SHE / ZYTX),Sun 04:06PM CST,Sun 06:07PM CST
