,标识符,机型,始发地,出发,到达
753,CES2958,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Wed 11:14AM CST,Wed 01:02PM CST
754,JYH1071,B738,Guiyang Longdongbao (KWE / ZUGY),Wed 10:05AM CST,Wed 12:40PM CST
755,CES2732,A321,Beijing Capital Int'l (PEK / ZBAA),Wed 10:46AM CST,Wed 12:31PM CST
756,CDC8035,A320,Guiyang Longdongbao (KWE / ZUGY),Wed 10:18AM CST,Wed 12:28PM CST
757,CES2956,A321,Xi'an Xianyang Int'l (XIY / ZLXY),Wed 10:37AM CST,Wed 12:24PM CST
758,CSZ9823,B738,Guangzhou Baiyun Int'l (CAN / ZGGG),Wed 10:16AM CST,Wed 12:04PM CST
759,OTC7147,A321,Kunming Changshui Int'l (KMG / ZPPP),Wed 09:40AM CST,Wed 11:59AM CST
760,DKH1862,A321,Fuzhou Changle Int'l (FOC / ZSFZ),Wed 10:36AM CST,Wed 11:50AM CST
761,CSZ9546,A320,Chengdu Shuangliu Int'l (CTU / ZUUU),Wed 09:40AM CST,Wed 11:45AM CST
762,CSZ8124,B738,Changsha Huanghua Int'l (CSX / ZGHA),Wed 10:05AM CST,Wed 11:26AM CST
763,CES2996,A320,Kunming Changshui Int'l (KMG / ZPPP),Wed 08:54AM CST,Wed 11:11AM CST
764,CES2930,A320,Shenyang Taoxian Int'l (SHE / ZYTX),Wed 10:58AM CST,01:10PM CST (?)
765,DKH1853,A320,Qingdao Liuting Int'l (TAO / ZSQD),Wed 09:51AM CST,Wed 10:56AM CST
766,CSZ9805,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 08:47AM CST,Wed 10:53AM CST
767,CSZ9821,B738,Guangzhou Baiyun Int'l (CAN / ZGGG),Wed 08:59AM CST,Wed 10:48AM CST
768,CES2862,A321,Beijing Daxing International Airport (PKX / ZBAD),Wed 09:13AM CST,Wed 10:44AM CST
769,DKH1908,A321,Harbin Taiping Int'l (HRB / ZYHB),Wed 07:21AM CST,Wed 10:11AM CST
770,CSZ8506,A320,Quanzhou Jinjiang (JJN / ZSQZ),Wed 08:19AM CST,Wed 09:40AM CST
771,CSZ9801,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 07:20AM CST,Wed 09:30AM CST
772,CES2933,A320,Dalian Zhoushuizi Int'l (DLC / ZYTL),Wed 07:47AM CST,Wed 09:27AM CST
773,CSZ9287,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Wed 07:38AM CST,Wed 09:22AM CST
774,JYH1023,B738,Guangzhou Baiyun Int'l (CAN / ZGGG),Wed 07:11AM CST,Wed 09:08AM CST
775,CSZ9157,B738,Beijing Capital Int'l (PEK / ZBAA),Wed 06:44AM CST,Wed 08:31AM CST
776,CSC8949,A321,Chongqing Jiangbei Int'l (CKG / ZUCK),Wed 06:10AM CST,Wed 07:55AM CST
777,CSC8949,A321,Chongqing Jiangbei Int'l (CKG / ZUCK),Wed 06:10AM CST,Wed 07:55AM CST
778,CSS6945,B763,Beijing Capital Int'l (PEK / ZBAA),Wed 12:28AM CST,Wed 02:03AM CST
779,CES2968,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Wed 12:16AM CST,Wed 01:49AM CST
780,CES2978,A321,Shenzhen Bao'an Int'l (SZX / ZGSZ),Tue 11:28PM CST,Wed 01:21AM CST
781,CES2908,A321,Guangzhou Baiyun Int'l (CAN / ZGGG),Tue 11:10PM CST,Wed 12:56AM CST
782,CES2966,A321,Changsha Huanghua Int'l (CSX / ZGHA),Tue 11:42PM CST,Wed 12:49AM CST
783,CES2986,A320,Kunming Changshui Int'l (KMG / ZPPP),Tue 10:14PM CST,Wed 12:29AM CST
784,CSZ9817,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Tue 10:19PM CST,Wed 12:22AM CST
785,CSZ9831,B738,Guangzhou Baiyun Int'l (CAN / ZGGG),Tue 10:25PM CST,Wed 12:05AM CST
786,CES2988,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Tue 10:20PM CST,Tue 11:57PM CST
787,DKH1858,A321,Qingdao Liuting Int'l (TAO / ZSQD),Tue 09:55PM CST,Tue 11:01PM CST
788,CES2950,A320,Beijing Capital Int'l (PEK / ZBAA),Tue 09:18PM CST,Tue 10:57PM CST
789,DKH1852,A321,Nanning Wuxu Int'l (NNG / ZGNN),Tue 08:37PM CST,Tue 10:49PM CST
790,RLH6542,B733,Harbin Taiping Int'l (HRB / ZYHB),Tue 08:03PM CST,Tue 10:45PM CST
791,CES2998,A320,Yinchuan Helanshan (INC / ZLIC),Tue 08:31PM CST,Tue 10:40PM CST
792,CSZ8520,B738,Shubuling (LYI / ZSLY),Tue 09:35PM CST,Tue 10:26PM CST
793,CSZ9813,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Tue 08:13PM CST,Tue 10:09PM CST
794,CSZ9544,B738,Chengdu Shuangliu Int'l (CTU / ZUUU),Tue 07:49PM CST,Tue 09:55PM CST
795,CES9780,A320,Shenyang Taoxian Int'l (SHE / ZYTX),Tue 07:34PM CST,Tue 09:38PM CST
796,CSZ8518,B738,Chongqing Jiangbei Int'l (CKG / ZUCK),Tue 07:50PM CST,Tue 09:32PM CST
797,CSC8761,A320,Kunming Changshui Int'l (KMG / ZPPP),Tue 07:02PM CST,Tue 09:21PM CST
798,CSZ9285,B738,Xi'an Xianyang Int'l (XIY / ZLXY),Tue 07:36PM CST,Tue 09:14PM CST
799,CES9786,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Tue 07:21PM CST,Tue 09:04PM CST
800,DKH1854,A320,Sanya Phoenix Int'l (SYX / ZJSY),Tue 05:59PM CST,Tue 08:56PM CST
801,OTC7148,A321,Changchun Longjia Int'l (CGQ / ZYCC),Tue 06:19PM CST,Tue 08:50PM CST
802,CES2718,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Tue 07:27PM CST,Tue 08:41PM CST
803,EPA6218,B738,Changchun Longjia Int'l (CGQ / ZYCC),Tue 06:02PM CST,Tue 08:26PM CST
804,CES2738,A321,Xi'an Xianyang Int'l (XIY / ZLXY),Tue 06:40PM CST,Tue 08:21PM CST
805,CSZ8524,A320,Guiyang Longdongbao (KWE / ZUGY),Tue 06:23PM CST,Tue 08:17PM CST
806,CSN3209,A330,Shenzhen Bao'an Int'l (SZX / ZGSZ),Tue 06:18PM CST,Tue 08:06PM CST
807,CES2918,A321,Guangzhou Baiyun Int'l (CAN / ZGGG),Tue 06:10PM CST,Tue 07:58PM CST
808,CSZ8161,A320,Yuncheng (YCU / ZBYC),Tue 06:09PM CST,Tue 07:50PM CST
809,DKH1907,A321,Huizhou Pingtan Airport (HUZ / ZGHZ),Tue 06:00PM CST,Tue 07:46PM CST
810,CSZ8508,A320,Quanzhou Jinjiang (JJN / ZSQZ),Tue 06:02PM CST,Tue 07:31PM CST
811,CSZ9811,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Tue 05:23PM CST,Tue 07:26PM CST
812,CSN3917,A21N,Guangzhou Baiyun Int'l (CAN / ZGGG),Tue 05:34PM CST,Tue 07:24PM CST
813,CES2850,A320,Zunyi (ZYI / ZUZY),Tue 04:06PM CST,Tue 07:20PM CST
814,CXA8537,B738,Fuzhou Changle Int'l (FOC / ZSFZ),Tue 06:09PM CST,Tue 07:20PM CST
815,DKH1848,A20N,Changsha Huanghua Int'l (CSX / ZGHA),Tue 05:54PM CST,Tue 07:11PM CST
816,JYH1072,B738,Shenyang Taoxian Int'l (SHE / ZYTX),Tue 05:08PM CST,Tue 07:06PM CST
817,JYH1089,B738,Guiyang Longdongbao (KWE / ZUGY),Tue 04:00PM CST,Tue 06:19PM CST
818,CES2980,A321,Xiamen Gaoqi Int'l (XMN / ZSAM),Tue 04:54PM CST,Tue 06:17PM CST
819,OTC7251,A320,Changsha Huanghua Int'l (CSX / ZGHA),Tue 04:59PM CST,Tue 06:11PM CST
820,CES2906,A321,Chengdu Shuangliu Int'l (CTU / ZUUU),Tue 03:34PM CST,Tue 05:41PM CST
821,CES2976,A320,Kunming Changshui Int'l (KMG / ZPPP),Tue 03:14PM CST,Tue 05:35PM CST
822,CES2702,A321,Qingdao Liuting Int'l (TAO / ZSQD),Tue 04:25PM CST,Tue 05:30PM CST
823,CSZ9809,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Tue 03:15PM CST,Tue 05:16PM CST
824,CSZ9829,B738,Guangzhou Baiyun Int'l (CAN / ZGGG),Tue 03:23PM CST,Tue 05:09PM CST
825,DKH1846,A321,Chongqing Jiangbei Int'l (CKG / ZUCK),Tue 03:28PM CST,Tue 05:06PM CST
826,CES2934,A320,Zhanjiang (ZHA / ZGZJ),Tue 02:46PM CST,Tue 05:02PM CST
827,CES2958,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Tue 03:00PM CST,Tue 04:45PM CST
828,CDC8035,A320,Guiyang Longdongbao (KWE / ZUGY),Tue 01:55PM CST,Tue 04:04PM CST
829,CSZ9825,B738,Guangzhou Baiyun Int'l (CAN / ZGGG),Tue 02:07PM CST,Tue 03:57PM CST
830,CSZ9159,B738,Beijing Capital Int'l (PEK / ZBAA),Tue 01:59PM CST,Tue 03:34PM CST
831,CDC8739,A320,Dalian Zhoushuizi Int'l (DLC / ZYTL),Tue 01:53PM CST,Tue 03:28PM CST
832,OTC7147,A321,Kunming Changshui Int'l (KMG / ZPPP),Tue 12:54PM CST,Tue 03:19PM CST
833,CSZ9807,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Tue 12:54PM CST,Tue 02:53PM CST
834,RLH6541,B733,Kunming Changshui Int'l (KMG / ZPPP),Tue 12:08PM CST,Tue 02:30PM CST
835,CSZ8917,A320,Huizhou Pingtan Airport (HUZ / ZGHZ),Tue 12:37PM CST,Tue 02:21PM CST
836,CES2930,A320,Shenyang Taoxian Int'l (SHE / ZYTX),Tue 12:17PM CST,Tue 02:18PM CST
837,JYH1046,B738,Dalian Zhoushuizi Int'l (DLC / ZYTL),Tue 12:37PM CST,Tue 02:08PM CST
838,CES2712,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Tue 12:37PM CST,Tue 01:59PM CST
839,CSZ9546,A320,Chengdu Shuangliu Int'l (CTU / ZUUU),Tue 11:40AM CST,Tue 01:52PM CST
840,CSZ9803,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Tue 11:42AM CST,Tue 01:43PM CST
841,CSZ9530,B738,Zhuhai Int'l (ZUH / ZGSD),Tue 11:39AM CST,Tue 01:40PM CST
842,CSZ8124,B738,Changsha Huanghua Int'l (CSX / ZGHA),Tue 12:12PM CST,Tue 01:35PM CST
843,CES2768,A320,Beijing Daxing International Airport (PKX / ZBAD),Tue 11:59AM CST,Tue 01:29PM CST
844,EPA6217,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Tue 11:15AM CST,Tue 01:27PM CST
845,JYH1071,B738,Guiyang Longdongbao (KWE / ZUGY),Tue 10:05AM CST,Tue 01:04PM CST
846,CSZ9819,B738,Guangzhou Baiyun Int'l (CAN / ZGGG),Tue 11:14AM CST,Tue 01:01PM CST
847,CES2734,A320,Zhuhai Int'l (ZUH / ZGSD),Tue 01:00PM CST,03:02PM CST (?)
848,CES2996,A320,Kunming Changshui Int'l (KMG / ZPPP),Tue 10:32AM CST,Tue 12:53PM CST
849,CES2956,A321,Xi'an Xianyang Int'l (XIY / ZLXY),Tue 10:43AM CST,Tue 12:25PM CST
850,CES2732,A321,Beijing Capital Int'l (PEK / ZBAA),Tue 10:39AM CST,Tue 12:17PM CST
851,CSZ9823,B738,Guangzhou Baiyun Int'l (CAN / ZGGG),Tue 10:12AM CST,Tue 11:57AM CST
852,DKH1862,A321,Fuzhou Changle Int'l (FOC / ZSFZ),Tue 10:21AM CST,Tue 11:31AM CST
853,CSC8623,A330,Chengdu Shuangliu Int'l (CTU / ZUUU),Tue 08:56AM CST,Tue 11:12AM CST
854,CSZ9805,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Tue 09:10AM CST,Tue 11:08AM CST
855,DKH1853,A320,Qingdao Liuting Int'l (TAO / ZSQD),Tue 09:44AM CST,Tue 10:47AM CST
856,CSZ9821,B738,Guangzhou Baiyun Int'l (CAN / ZGGG),Tue 09:00AM CST,Tue 10:44AM CST
857,CES2862,A321,Beijing Daxing International Airport (PKX / ZBAD),Tue 09:08AM CST,Tue 10:36AM CST
858,CSZ8506,A320,Quanzhou Jinjiang (JJN / ZSQZ),Tue 08:53AM CST,Tue 10:10AM CST
859,DKH1908,A321,Harbin Taiping Int'l (HRB / ZYHB),Tue 07:33AM CST,Tue 10:06AM CST
860,CSZ9801,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Tue 07:51AM CST,Tue 09:54AM CST
861,CSZ8205,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Tue 07:50AM CST,Tue 09:38AM CST
862,JYH1023,B738,Guangzhou Baiyun Int'l (CAN / ZGGG),Tue 06:57AM CST,Tue 08:57AM CST
863,CES2933,A320,Dalian Zhoushuizi Int'l (DLC / ZYTL),Tue 07:28AM CST,Tue 08:54AM CST
864,CSZ9157,B738,Beijing Capital Int'l (PEK / ZBAA),Tue 06:35AM CST,Tue 08:16AM CST
865,CSC8949,A321,Chongqing Jiangbei Int'l (CKG / ZUCK),Tue 06:26AM CST,Tue 08:09AM CST
866,CES2978,A321,Shenzhen Bao'an Int'l (SZX / ZGSZ),Mon 11:33PM CST,Tue 01:20AM CST
867,CES2966,A321,Changsha Huanghua Int'l (CSX / ZGHA),Mon 11:51PM CST,Tue 12:57AM CST
868,CES2908,A321,Guangzhou Baiyun Int'l (CAN / ZGGG),Mon 11:08PM CST,Tue 12:51AM CST
869,CSZ9817,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Mon 10:33PM CST,Tue 12:33AM CST
870,CSZ9831,B738,Guangzhou Baiyun Int'l (CAN / ZGGG),Mon 10:35PM CST,Tue 12:14AM CST
871,CSZ9831,B738,Guangzhou Baiyun Int'l (CAN / ZGGG),Mon 10:35PM CST,Tue 12:14AM CST
872,CES2968,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Mon 10:07PM CST,Mon 11:46PM CST
873,OTC7234,A320,Lijiang (LJG / ZPLJ),Mon 09:02PM CST,Mon 11:19PM CST
874,CSZ9815,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Mon 09:10PM CST,Mon 11:14PM CST
875,DKH1858,A321,Qingdao Liuting Int'l (TAO / ZSQD),Mon 09:59PM CST,Mon 11:02PM CST
876,CES2998,A320,Yinchuan Helanshan (INC / ZLIC),Mon 08:58PM CST,Mon 10:54PM CST
877,CES2988,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Mon 09:08PM CST,Mon 10:44PM CST
878,DKH1852,A321,Nanning Wuxu Int'l (NNG / ZGNN),Mon 08:25PM CST,Mon 10:34PM CST
879,CSZ9813,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Mon 08:26PM CST,Mon 10:26PM CST
880,CSZ8520,B738,Shubuling (LYI / ZSLY),Mon 09:32PM CST,Mon 10:17PM CST
881,CES2950,A320,Beijing Capital Int'l (PEK / ZBAA),Mon 08:29PM CST,Mon 10:03PM CST
882,CES9780,A320,Shenyang Taoxian Int'l (SHE / ZYTX),Mon 07:53PM CST,Mon 09:53PM CST
