,标识符,机型,始发地,出发,到达
2263,CES5396,B732,Zhengzhou Xinzheng Int'l (CGO / ZHCC),Fri 10:56AM CST,Fri 12:14PM CST
2264,CES5406,A320,Chengdu Shuangliu Int'l (CTU / ZUUU),Fri 10:06AM CST,Fri 12:14PM CST
2265,CXA8541,B738,Fuzhou Changle Int'l (FOC / ZSFZ),Fri 11:16AM CST,Fri 12:13PM CST
2266,CSN3531,B77W,Guangzhou Baiyun Int'l (CAN / ZGGG),Fri 10:31AM CST,Fri 12:05PM CST
2267,CES2153,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Fri 10:15AM CST,Fri 12:04PM CST
2268,LKE9887,A320,Yichun Mingyueshan (YIC / ZSYC),Fri 10:47AM CST,Fri 11:57AM CST
2269,DKH1132,A320,Taiyuan Wusu (TYN / ZBYN),Fri 10:12AM CST,Fri 11:56AM CST
2270,DKH1124,A321,Changsha Huanghua Int'l (CSX / ZGHA),Fri 10:25AM CST,Fri 11:52AM CST
2271,CQH8816,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Fri 10:39AM CST,Fri 11:51AM CST
2272,CES5106,A333,Beijing Capital Int'l (PEK / ZBAA),Fri 10:04AM CST,Fri 11:50AM CST
2273,CQH8958,A320,Jieyang Chaoshan International Airport (SWA / ZGOW),Fri 10:24AM CST,Fri 11:47AM CST
2274,CES5803,B732,Kunming Changshui Int'l (KMG / ZPPP),Fri 09:28AM CST,Fri 11:45AM CST
2275,CES5572,A320,Jinan Yaoqiang (TNA / ZSJN),Fri 10:29AM CST,Fri 11:44AM CST
2276,CSH9304,B789,Guangzhou Baiyun Int'l (CAN / ZGGG),Fri 10:09AM CST,Fri 11:40AM CST
2277,CSH9264,737,Xiamen Gaoqi Int'l (XMN / ZSAM),Fri 10:26AM CST,Fri 11:39AM CST
2278,CES2507,B738,Wuhan Tianhe (WUH / ZHHH),Fri 10:29AM CST,Fri 11:37AM CST
2279,CES5324,B738,Changsha Huanghua Int'l (CSX / ZGHA),Fri 10:41AM CST,Fri 11:36AM CST
2280,CSH9074,B738,Penglai International (YNT / ZSYT),Fri 10:02AM CST,Fri 11:33AM CST
2281,CCA1519,B789,Beijing Capital Int'l (PEK / ZBAA),Fri 09:50AM CST,Fri 11:30AM CST
2282,DKH1106,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Fri 10:19AM CST,Fri 11:29AM CST
2283,CES5334,A332,Shenzhen Bao'an Int'l (SZX / ZGSZ),Fri 09:53AM CST,Fri 11:26AM CST
2284,CES6974,A320,Lanzhou Zhongchuan International (LHW / ZLLL),Fri 09:05AM CST,Fri 11:24AM CST
2285,CES5304,B732,Guangzhou Baiyun Int'l (CAN / ZGGG),Fri 09:43AM CST,Fri 11:20AM CST
2286,CSN3553,A330,Shenzhen Bao'an Int'l (SZX / ZGSZ),Fri 09:25AM CST,Fri 11:00AM CST
2287,CSZ9503,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Fri 09:23AM CST,Fri 11:00AM CST
2288,CSH9246,B738,Nanchang Changbei Int'l (KHN / ZSCN),Fri 09:53AM CST,Fri 10:59AM CST
2289,CES2151,A321,Xi'an Xianyang Int'l (XIY / ZLXY),Fri 09:13AM CST,Fri 10:56AM CST
2290,CQH6632,A320,Shubuling (LYI / ZSLY),Fri 09:49AM CST,Fri 10:52AM CST
2291,CSN3951,B788,Beijing Daxing International Airport (PKX / ZBAD),Fri 09:20AM CST,Fri 10:52AM CST
2292,CCA1838,B738,Guangzhou Baiyun Int'l (CAN / ZGGG),Fri 09:16AM CST,Fri 10:49AM CST
2293,CES5276,A320,Yinchuan Helanshan (INC / ZLIC),Fri 08:48AM CST,Fri 10:46AM CST
2294,CSH9206,B738,Fuzhou Changle Int'l (FOC / ZSFZ),Fri 09:45AM CST,Fri 10:44AM CST
2295,CES5104,A333,Beijing Capital Int'l (PEK / ZBAA),Fri 09:01AM CST,Fri 10:42AM CST
2296,CSH9516,B738,Wenzhou Int'l (WNZ / ZSWZ),Fri 09:54AM CST,Fri 10:38AM CST
2297,DKH1236,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Fri 08:49AM CST,Fri 10:34AM CST
2298,CES5801,B738,Kunming Changshui Int'l (KMG / ZPPP),Fri 08:21AM CST,Fri 10:34AM CST
2299,CCA1501,A359,Beijing Capital Int'l (PEK / ZBAA),Fri 08:53AM CST,Fri 10:29AM CST
2300,CES5337,A320,Penglai International (YNT / ZSYT),Fri 09:11AM CST,Fri 10:25AM CST
2301,CES5302,A332,Guangzhou Baiyun Int'l (CAN / ZGGG),Fri 08:49AM CST,Fri 10:24AM CST
2302,CES2220,A332,Chengdu Shuangliu Int'l (CTU / ZUUU),Fri 08:21AM CST,Fri 10:21AM CST
2303,CQH8822,A320,Qingdao Liuting Int'l (TAO / ZSQD),Fri 09:06AM CST,Fri 10:19AM CST
2304,CES2408,B732,Taiyuan Wusu (TYN / ZBYN),Fri 08:29AM CST,Fri 10:16AM CST
2305,CXA8511,B738,Xiamen Gaoqi Int'l (XMN / ZSAM),Fri 09:03AM CST,Fri 10:13AM CST
2306,CHH7607,A333,Beijing Capital Int'l (PEK / ZBAA),Fri 08:33AM CST,Fri 10:10AM CST
2307,CES5152,A321,Beijing Capital Int'l (PEK / ZBAA),Fri 08:29AM CST,Fri 10:09AM CST
2308,HBH3219,B738,Shijiazhuang Zhengding International Airport (SJW / ZBSJ),Fri 08:21AM CST,Fri 10:07AM CST
2309,CCA4515,A321,Chengdu Shuangliu Int'l (CTU / ZUUU),Fri 08:01AM CST,Fri 10:05AM CST
2310,CSZ9501,A330,Shenzhen Bao'an Int'l (SZX / ZGSZ),Fri 08:22AM CST,Fri 10:03AM CST
