,标识符,机型,始发地,出发,到达
3468,CCA1110,RJ85,Xilinhot (XIL / ZBXH),Wed 10:27AM CST,Wed 11:27AM CST
3469,CCA4127,B738,Chongqing Jiangbei Int'l (CKG / ZUCK),Wed 09:20AM CST,Wed 11:25AM CST
3470,CCA1880,A320,Yiwu (YIW / ZSYW),Wed 09:31AM CST,Wed 11:23AM CST
3471,CES5103,B773,Shanghai Hongqiao Int'l (SHA / ZSSS),Wed 09:25AM CST,Wed 11:20AM CST
3472,CCA1711,A333,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Wed 09:22AM CST,Wed 11:18AM CST
3473,CCA1602,A321,Shenyang Taoxian Int'l (SHE / ZYTX),Wed 09:48AM CST,Wed 11:17AM CST
3474,CCA1638,B737,Tonghua Liuhe (TNH / ZYTN),Wed 09:23AM CST,Wed 11:16AM CST
3475,CES5701,B738,Kunming Changshui Int'l (KMG / ZPPP),Wed 08:09AM CST,Wed 11:14AM CST
3476,CAL511,A333,Taiwan Taoyuan Int'l (TPE / RCTP),Wed 08:19AM CST,Wed 11:13AM CST
3477,CES2103,A333,Xi'an Xianyang Int'l (XIY / ZLXY),Wed 09:08AM CST,Wed 11:11AM CST
3478,CES2103,A333,Xi'an Xianyang Int'l (XIY / ZLXY),Wed 09:08AM CST,Wed 11:11AM CST
3479,CCA4137,B738,Chongqing Jiangbei Int'l (CKG / ZUCK),Wed 09:10AM CST,Wed 11:10AM CST
3480,CCA1590,B773,Shanghai Hongqiao Int'l (SHA / ZSSS),Wed 09:09AM CST,Wed 11:09AM CST
3481,CJX8887,B738,Nanchang Changbei Int'l (KHN / ZSCN),Wed 09:08AM CST,Wed 11:05AM CST
3482,CCA1350,B738,Changsha Huanghua Int'l (CSX / ZGHA),Wed 09:00AM CST,Wed 11:00AM CST
3483,CCA1310,A333,Guangzhou Baiyun Int'l (CAN / ZGGG),Wed 08:28AM CST,Wed 10:58AM CST
3484,CCA1846,A321,Hefei Xinqiao Airport (HFE / ZSOF),Wed 09:23AM CST,Wed 10:53AM CST
3485,CCA1218,B738,Yinchuan Helanshan (INC / ZLIC),Wed 09:22AM CST,Wed 10:53AM CST
3486,CCA4129,B738,Chongqing Jiangbei Int'l (CKG / ZUCK),Wed 08:39AM CST,Wed 10:50AM CST
3487,CCA1640,B738,Harbin Taiping Int'l (HRB / ZYHB),Wed 08:52AM CST,Wed 10:48AM CST
3488,CES5151,A321,Shanghai Hongqiao Int'l (SHA / ZSSS),Wed 08:45AM CST,Wed 10:43AM CST
3489,CCA1820,A321,Nanjing Lukou Int'l (NKG / ZSNJ),Wed 09:03AM CST,Wed 10:39AM CST
3490,CCA1802,A321,Xiamen Gaoqi Int'l (XMN / ZSAM),Wed 08:07AM CST,Wed 10:38AM CST
3491,CCA1540,B738,Wenzhou Int'l (WNZ / ZSWZ),Wed 08:25AM CST,Wed 10:38AM CST
3492,CSZ9101,A330,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 07:57AM CST,Wed 10:35AM CST
3493,CDG4604,B738,Xiamen Gaoqi Int'l (XMN / ZSAM),Wed 08:01AM CST,Wed 10:34AM CST
3494,CHH7710,A333,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 07:54AM CST,Wed 10:34AM CST
3495,CDG4604,B738,Xiamen Gaoqi Int'l (XMN / ZSAM),Wed 08:01AM CST,Wed 10:34AM CST
3496,CHH7710,A333,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 07:54AM CST,Wed 10:34AM CST
3497,CCA1206,A321,Xi'an Xianyang Int'l (XIY / ZLXY),Wed 08:40AM CST,Wed 10:32AM CST
3498,CCA1386,B738,Shiyan Wudangshan (WDS / ZHSY),Wed 08:35AM CST,Wed 10:25AM CST
3499,CHH7604,B738,Shanghai Hongqiao Int'l (SHA / ZSSS),Wed 08:34AM CST,Wed 10:24AM CST
3500,CSC8883,A359,Chengdu Shuangliu Int'l (CTU / ZUUU),Wed 07:39AM CST,Wed 10:17AM CST
3501,CCA1858,B77W,Shanghai Hongqiao Int'l (SHA / ZSSS),Wed 08:18AM CST,Wed 10:15AM CST
