,标识符,机型,始发地,出发,到达
4591,CHH7254,B738,Qingdao Liuting Int'l (TAO / ZSQD),Mon 07:11PM CST,Mon 10:10PM CST
4592,CSZ9134,B739,Taiyuan Wusu (TYN / ZBYN),Mon 07:27PM CST,Mon 10:06PM CST
4593,CES2829,A320,Nanjing Lukou Int'l (NKG / ZSNJ),Mon 07:57PM CST,Mon 10:04PM CST
4594,CSN6334,A320,Dalian Zhoushuizi Int'l (DLC / ZYTL),Mon 06:29PM CST,Mon 10:02PM CST
4595,CHH7664,B738,Nanjing Lukou Int'l (NKG / ZSNJ),Mon 07:50PM CST,Mon 10:01PM CST
4596,CSN3550,A321,Shanghai Hongqiao Int'l (SHA / ZSSS),Mon 07:41PM CST,Mon 09:58PM CST
4597,CSZ8270,B738,Yichang (YIH / ZHYC),Mon 08:12PM CST,Mon 09:57PM CST
4598,CSZ9914,B738,Qingdao Liuting Int'l (TAO / ZSQD),Mon 07:00PM CST,Mon 09:55PM CST
4599,PAC797,B748,Narita Int'l (NRT / RJAA),Mon 10:54PM JST,02:45AM CST (+1) (?)
4600,CES5355,A333,Shanghai Hongqiao Int'l (SHA / ZSSS),Mon 07:44PM CST,Mon 09:53PM CST
4601,CCA1305,A333,Beijing Capital Int'l (PEK / ZBAA),Mon 06:43PM CST,Mon 09:51PM CST
4602,CHB6311,A320,Zhengzhou Xinzheng Int'l (CGO / ZHCC),Mon 07:43PM CST,Mon 09:47PM CST
4603,CHH7288,B738,Wenzhou Int'l (WNZ / ZSWZ),Mon 08:10PM CST,Mon 09:45PM CST
4604,CHH7288,B738,Wenzhou Int'l (WNZ / ZSWZ),Mon 08:10PM CST,Mon 09:45PM CST
4605,CSZ9904,A319,Jinan Yaoqiang (TNA / ZSJN),Mon 07:06PM CST,Mon 09:44PM CST
4606,UPS166,B763,Changi Air Base (RSAF) (WSAC),Mon 09:43PM +08,01:14AM CST (+1) (?)
4607,CSN3614,A321,Changchun Longjia Int'l (CGQ / ZYCC),Mon 05:48PM CST,Mon 09:41PM CST
4608,CDC8788,A320,Xuzhou (XUZ / ZSXZ),Mon 07:21PM CST,Mon 09:39PM CST
4609,CQH6540,A320,Shijiazhuang Zhengding International Airport (SJW / ZBSJ),Mon 06:52PM CST,Mon 09:35PM CST
