,标识符,机型,始发地,出发,到达
181,SJX205,A21N,Taiwan Taoyuan Int'l (TPE / RCTP),Mon 06:52PM CST,Mon 08:23PM CST
182,AMU615,A321,Taiwan Taoyuan Int'l (TPE / RCTP),Mon 09:40PM CST,Mon 11:12PM CST
183,AMU15,A320,Taiyuan Wusu (TYN / ZBYN),Mon 07:59PM CST,Mon 10:40PM CST
184,AMU131,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Mon 09:30PM CST,Mon 10:33PM CST
185,SJX205,A21N,Taiwan Taoyuan Int'l (TPE / RCTP),Mon 06:52PM CST,Mon 08:23PM CST
186,AMU107,A321,Changzhou Benniu (CZX / ZSCG),Mon 05:41PM CST,Mon 07:52PM CST
187,AMU135,A321,Shanghai Pudong Int'l (PVG / ZSPD),Mon 05:22PM CST,Mon 07:49PM CST
188,AMU1,A321,Beijing Capital Int'l (PEK / ZBAA),Mon 04:33PM CST,Mon 07:40PM CST
189,AMU127,A321,Nanjing Lukou Int'l (NKG / ZSNJ),Mon 04:59PM CST,Mon 07:07PM CST
190,AMU197,A321,Chengdu Shuangliu Int'l (CTU / ZUUU),Mon 04:14PM CST,Mon 06:15PM CST
191,AMU225,A321,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Mon 04:05PM CST,Mon 06:09PM CST
192,AMU161,A320,Ningbo Lishe Int'l (NGB / ZSNB),Mon 04:00PM CST,Mon 05:57PM CST
193,AMU109,A321,Shanghai Pudong Int'l (PVG / ZSPD),Mon 02:27PM CST,Mon 04:50PM CST
194,CES2007,A321,Shanghai Pudong Int'l (PVG / ZSPD),Mon 12:56PM CST,Mon 03:27PM CST
195,AMU9957,A321,Manila Int'l (MNL / RPLL),Mon 01:15PM PST,Mon 02:58PM CST
196,SJX203,A21N,Taiwan Taoyuan Int'l (TPE / RCTP),Mon 01:19PM CST,Mon 02:52PM CST
197,AMU9957,A321,Manila Int'l (MNL / RPLL),Mon 01:15PM PST,Mon 02:58PM CST
198,SJX203,A21N,Taiwan Taoyuan Int'l (TPE / RCTP),Mon 01:19PM CST,Mon 02:52PM CST
199,CSH875,B738,Shanghai Pudong Int'l (PVG / ZSPD),Mon 10:10AM CST,Mon 12:37PM CST
200,AMU195,A320,Nanning Wuxu Int'l (NNG / ZGNN),Mon 11:17AM CST,Mon 12:16PM CST
201,AMU631,A321,Taiwan Taoyuan Int'l (TPE / RCTP),Mon 10:28AM CST,Mon 12:01PM CST
202,EVA801,A321,Taiwan Taoyuan Int'l (TPE / RCTP),Mon 10:21AM CST,Mon 11:54AM CST
