,标识符,机型,始发地,出发,到达
4504,CSZ9836,A320,Quanzhou Jinjiang (JJN / ZSQZ),Wed 09:53PM CST,Wed 11:00PM CST
4505,CSZ9836,A320,Quanzhou Jinjiang (JJN / ZSQZ),Wed 09:53PM CST,Wed 11:00PM CST
4506,CSN6590,B738,Wuhan Tianhe (WUH / ZHHH),Wed 09:31PM CST,Wed 10:58PM CST
4507,CSN3546,B788,Shanghai Hongqiao Int'l (SHA / ZSSS),Wed 08:59PM CST,Wed 10:57PM CST
4508,CSN6377,A320,Changchun Longjia Int'l (CGQ / ZYCC),Wed 06:57PM CST,Wed 10:56PM CST
4509,CCA4024,B738,Ningbo Lishe Int'l (NGB / ZSNB),Wed 08:57PM CST,Wed 10:54PM CST
4510,CSN6705,A21N,Sanya Phoenix Int'l (SYX / ZJSY),Wed 10:10PM CST,Wed 10:52PM CST
4511,CSN3990,A320,Zhaotong (ZAT / ZPZT),Wed 09:19PM CST,Wed 10:51PM CST
4512,CES5317,A332,Shanghai Hongqiao Int'l (SHA / ZSSS),Wed 08:45PM CST,Wed 10:49PM CST
4513,CHH7266,B738,Zhangjiakou Ningyuan (ZQZ / ZBZJ),Wed 07:40PM CST,Wed 10:47PM CST
4514,CSZ9532,A320,Shanghai Pudong Int'l (PVG / ZSPD),Wed 08:38PM CST,Wed 10:45PM CST
4515,CHH7352,A333,Chengdu Shuangliu Int'l (CTU / ZUUU),Wed 08:52PM CST,Wed 10:44PM CST
4516,CSN3918,A21N,Wuxi (WUX / ZSWX),Wed 08:40PM CST,Wed 10:42PM CST
4517,CSN3264,A319,Dachuan (DAX / ZUDX),Wed 09:01PM CST,Wed 10:41PM CST
4518,CHH7314,B738,Nanjing Lukou Int'l (NKG / ZSNJ),Wed 08:44PM CST,Wed 10:40PM CST
4519,CHH7038,B738,Chongqing Jiangbei Int'l (CKG / ZUCK),Wed 09:17PM CST,Wed 10:39PM CST
4520,CCA4353,B737,Chongqing Jiangbei Int'l (CKG / ZUCK),Wed 09:13PM CST,Wed 10:39PM CST
4521,CSN6324,A320,Yichun Mingyueshan (YIC / ZSYC),Wed 09:30PM CST,Wed 10:39PM CST
4522,CSN3110,A359,Beijing Daxing International Airport (PKX / ZBAD),Wed 07:50PM CST,Wed 10:37PM CST
4523,CSN3500,A21N,Kunming Changshui Int'l (KMG / ZPPP),Wed 09:08PM CST,Wed 10:35PM CST
4524,CHH7854,B738,Sanming Shaxian (SQJ / ZSSM),Wed 09:17PM CST,Wed 10:34PM CST
4525,CSN3922,A319,Tongren Daxing (TEN / ZUTR),Wed 09:27PM CST,Wed 10:32PM CST
4526,CSZ9868,A320,Nanjing Lukou Int'l (NKG / ZSNJ),Wed 08:38PM CST,Wed 10:32PM CST
