,标识符,机型,始发地,出发,到达
1955,CES2764,A319,Dashuipo (WEH / ZSWH),Wed 10:32PM CST,Wed 11:50PM CST
1956,DKH1704,A320,Guiyang Longdongbao (KWE / ZUGY),Wed 09:51PM CST,Wed 11:40PM CST
1957,CSZ9853,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 09:46PM CST,Wed 11:32PM CST
1958,DKH1796,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Wed 10:10PM CST,Wed 11:28PM CST
1959,CSZ8316,B738,Zhuhai Int'l (ZUH / ZGSD),Wed 09:35PM CST,Wed 11:24PM CST
1960,CSN3871,A321,Guangzhou Baiyun Int'l (CAN / ZGGG),Wed 09:40PM CST,Wed 11:19PM CST
1961,CSN3871,A321,Guangzhou Baiyun Int'l (CAN / ZGGG),Wed 09:40PM CST,Wed 11:19PM CST
1962,CSZ9871,B738,Guangzhou Baiyun Int'l (CAN / ZGGG),Wed 09:22PM CST,Wed 11:04PM CST
1963,CSN5417,A321,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 09:15PM CST,Wed 10:59PM CST
1964,CES2798,A320,Zhanjiang (ZHA / ZGZJ),Wed 08:47PM CST,Wed 10:55PM CST
1965,DKH1716,A20N,Changchun Longjia Int'l (CGQ / ZYCC),Wed 08:20PM CST,Wed 10:52PM CST
1966,CES2886,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Wed 09:14PM CST,Wed 10:49PM CST
1967,CES7034,A332,Los Angeles Intl (KLAX),Tue 04:49PM PST,Wed 10:46PM CST
1968,DKH1748,A320,Changde Taohuayuan (CGD / ZGCD),Wed 09:30PM CST,Wed 10:44PM CST
1969,DKH1734,A320,Sanya Phoenix Int'l (SYX / ZJSY),Wed 08:05PM CST,Wed 10:42PM CST
1970,DKH1684,A320,Yulin (UYN / ZLYL),Wed 08:49PM CST,Wed 10:38PM CST
1971,CSN6837,B738,Urumqi Diwopu Int'l (URC / ZWWW),Wed 06:24PM CST,Wed 10:34PM CST
1972,CSZ9596,A320,Yichun Mingyueshan (YIC / ZSYC),Wed 09:21PM CST,Wed 10:30PM CST
1973,CSN6582,A320,Zhuhai Int'l (ZUH / ZGSD),Wed 08:32PM CST,Wed 10:25PM CST
1974,DKH1672,A320,Quanzhou Jinjiang (JJN / ZSQZ),Wed 09:06PM CST,Wed 10:21PM CST
1975,CES2864,A319,Liuzhou (LZH / ZGZH),Wed 08:34PM CST,Wed 10:16PM CST
1976,CES9794,A321,Guangzhou Baiyun Int'l (CAN / ZGGG),Wed 08:31PM CST,Wed 10:12PM CST
1977,CES2728,A321,Sanya Phoenix Int'l (SYX / ZJSY),Wed 07:40PM CST,Wed 10:05PM CST
1978,CHB6235,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Wed 08:14PM CST,Wed 09:58PM CST
1979,CHB6295,A320,Guiyang Longdongbao (KWE / ZUGY),Wed 08:07PM CST,Wed 09:56PM CST
1980,LKE9569,B736,Ganzhou Huangjin (KOW / ZSGZ),Wed 08:37PM CST,Wed 09:52PM CST
1981,CSZ9582,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Wed 08:20PM CST,Wed 09:50PM CST
1982,DKH1678,A320,Yinchuan Helanshan (INC / ZLIC),Wed 07:40PM CST,Wed 09:46PM CST
1983,CCA1819,A321,Beijing Capital Int'l (PEK / ZBAA),Wed 08:17PM CST,Wed 09:41PM CST
1984,CDG2115,B738,Penglai International (YNT / ZSYT),Wed 08:27PM CST,Wed 09:38PM CST
1985,CSZ9849,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 07:51PM CST,Wed 09:32PM CST
1986,CES2792,A320,Zhuhai Int'l (ZUH / ZGSD),Wed 07:28PM CST,Wed 09:10PM CST
1987,CES2786,A320,Dongsheng (DSN / ZBDS),Wed 07:24PM CST,Wed 09:07PM CST
1988,CES9784,A320,Guiyang Longdongbao (KWE / ZUGY),Wed 07:25PM CST,Wed 09:04PM CST
1989,CES2758,A320,Shenyang Taoxian Int'l (SHE / ZYTX),Wed 06:54PM CST,Wed 09:01PM CST
1990,CES2744,A319,Yinchuan Helanshan (INC / ZLIC),Wed 06:58PM CST,Wed 08:59PM CST
1991,CQH8633,A320,Jieyang Chaoshan International Airport (SWA / ZGOW),Wed 07:20PM CST,Wed 08:57PM CST
1992,DKH1714,A321,Changbaishan Airport (NBS / ZYBS),Wed 06:27PM CST,Wed 08:54PM CST
1993,TBA9841,A319,Xining Caojiabu (XNN / ZLXN),Wed 06:47PM CST,Wed 08:47PM CST
1994,CSZ9869,B738,Guangzhou Baiyun Int'l (CAN / ZGGG),Wed 06:56PM CST,Wed 08:45PM CST
1995,DKH1924,A320,Shenyang Taoxian Int'l (SHE / ZYTX),Wed 06:35PM CST,Wed 08:42PM CST
1996,CXA8190,B738,Yuncheng (YCU / ZBYC),Wed 07:22PM CST,Wed 08:40PM CST
1997,CSZ8979,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 06:48PM CST,Wed 08:37PM CST
1998,CXA8070,B738,Shenyang Taoxian Int'l (SHE / ZYTX),Wed 06:31PM CST,Wed 08:34PM CST
1999,CSN3577,A321,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 06:37PM CST,Wed 08:29PM CST
2000,YZR7531,787,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 06:39PM CST,Wed 08:26PM CST
2001,CSN3697,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Wed 06:35PM CST,Wed 08:24PM CST
2002,CGN8397,B738,Xi'an Xianyang Int'l (XIY / ZLXY),Wed 06:39PM CST,Wed 08:17PM CST
2003,CHH7563,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 06:17PM CST,Wed 08:12PM CST
2004,CES2796,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Wed 06:36PM CST,Wed 08:10PM CST
2005,CDC8848,A320,Nanping Wuyishan (WUS / ZSWY),Wed 07:05PM CST,Wed 08:08PM CST
2006,OTC7128,A320,Hohhot Baita Int'l (HET / ZBHH),Wed 06:00PM CST,Wed 08:06PM CST
2007,CSZ8320,A320,Changchun Longjia Int'l (CGQ / ZYCC),Wed 05:38PM CST,Wed 08:03PM CST
2008,UEA2785,A319,Nanning Wuxu Int'l (NNG / ZGNN),Wed 05:51PM CST,Wed 08:01PM CST
2009,CES2802,A320,Beijing Daxing International Airport (PKX / ZBAD),Wed 06:36PM CST,Wed 07:58PM CST
2010,CHH7113,B738,Guangzhou Baiyun Int'l (CAN / ZGGG),Wed 06:11PM CST,Wed 07:56PM CST
2011,CES2944,A319,Handan (HDG / ZBHD),Wed 06:37PM CST,Wed 07:54PM CST
2012,CES2736,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Wed 06:16PM CST,Wed 07:50PM CST
2013,CES2868,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 06:09PM CST,Wed 07:48PM CST
2014,CES2756,A320,Kunming Changshui Int'l (KMG / ZPPP),Wed 05:36PM CST,Wed 07:45PM CST
2015,DKH1694,A20N,Chongqing Jiangbei Int'l (CKG / ZUCK),Wed 06:05PM CST,Wed 07:43PM CST
2016,CES2872,A320,Baotou (BAV / ZBOW),Wed 05:30PM CST,Wed 07:32PM CST
2017,CCA4557,B738,Chongqing Jiangbei Int'l (CKG / ZUCK),Wed 05:27PM CST,Wed 07:18PM CST
2018,CES2704,A320,Taiyuan Wusu (TYN / ZBYN),Wed 05:31PM CST,Wed 07:15PM CST
2019,CSC8117,A320,Kunming Changshui Int'l (KMG / ZPPP),Wed 04:54PM CST,Wed 07:13PM CST
2020,DKH1688,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Wed 05:28PM CST,Wed 07:10PM CST
2021,CES2722,A320,Datong (DAT / ZBDT),Wed 05:20PM CST,Wed 07:08PM CST
2022,EPA6258,B738,Changchun Longjia Int'l (CGQ / ZYCC),Wed 04:33PM CST,Wed 07:05PM CST
2023,CHH7313,B738,Guangzhou Baiyun Int'l (CAN / ZGGG),Wed 05:14PM CST,Wed 07:03PM CST
